reference_hotel_id,reference_room_id,reference_room_name,reference_processed_name,supplier_room_id,supplier_room_name,supplier_processed_name,text_similarity
13709793,1141868802,"Room Selected at Check-In, Smoking",room selected checkin smoking,219004602,"Room Selected at Check-In, Non Smoking",room selected checkin non smoking,0.96
13693528,1142661243,"Standard Room, 1 Queen Bed, Shared Bathroom (Room 1)",standard room 1 queen bed shared bathroom room 1,200990817,"Standard Room, 1 Queen Bed, Shared Bathroom",standard room 1 queen bed shared bathroom,0.97
13574884,1142561884,Premier Deluxe with balcony room,premier deluxe balcony room,411128,Deluxe Balcony Room,deluxe balcony room,0.97
13702807,1142945154,"Basic Quadruple Room, 1 Bedroom, Non Smoking",basic quadruple room 1 bedroom non smoking,201001739,"Superior Quadruple Room, 1 Bedroom, Non Smoking",superior quadruple room 1 bedroom non smoking,0.97
13622511,1142579272,"Honeymoon Suite, 1 Bedroom",honeymoon suite 1 bedroom,201269182,"Honeymoon Suite, 1 Bedroom (Honeymoon)",honeymoon suite 1 bedroom honeymoon,0.96
3688989,368898902,Apartment - Split Level,apartment split level,316040862,Split level apartment,split level apartment,0.98
13722556,1142961819,"Executive Suite, 2 Bedrooms",executive suite 2 bedroom,217511075,"Executive Suite, 1 Bedroom",executive suite 1 bedroom,0.86
13572496,1142832122,"Quadruple Room, Multiple Beds",quadruple room multiple bed,218744764,"Basic Quadruple Room, Multiple Beds",basic quadruple room multiple bed,0.98
13875895,1143508652,"Apartment, 2 Bedrooms (4 Adults)",apartment 2 bedroom 4 adult,201384399,"Apartment, 2 Bedrooms (5 adults)",apartment 2 bedroom 5 adult,0.87
13700959,1142125286,"Double or Twin Room, 2 Double Beds, Non Smoking",double twin room 2 double bed non smoking,200904501,"Double Room, 2 Double Beds, Non Smoking",double room 2 double bed non smoking,0.97
1630603,163060315,King Guest Room,king guest room,201184419,King Guestroom,king guestroom,0.96
13631110,1142603857,"Japanese Style Room, for 1-3 guests",japanese style room 13 guests,201019652,Japanese Style Room (2-6 Guests),japanese style room 26 guests,0.86
13607515,1142588532,"Superior Double Room, 1 Queen Bed, Garden View",superior double room 1 queen bed garden view,201157161,"Superior Room, 1 Double Bed, Garden View",superior room 1 double bed garden view,0.96
13564643,1142546761,"Double or Twin Room, Non Smoking",double twin room non smoking,201653552,"Basic Double or Twin Room, Non Smoking",basic double twin room non smoking,0.97
13652560,1142083988,"Deluxe Room, 1 King Bed, Garden Area",deluxe room 1 king bed garden area,202171302,"Deluxe Room, 1 King Bed, Garden View",deluxe room 1 king bed garden view,0.98
13557057,1142811383,"Standard Room, 2 Double Beds (Preferencial)",standard room 2 double bed preferencial,314430281,"Room, 2 Double Beds ((Preferencial))",room 2 double bed preferencial,0.97
13701858,1142668455,"Basic Suite, 2 Bedrooms, Sea View",basic suite 2 bedroom sea view,200915608,"Suite, 1 Bedroom, Sea View",suite 1 bedroom sea view,0.86
13589094,1142837763,"Standard Room, 2 Twin Beds, Balcony, Mountain View",standard room 2 twin bed balcony mountain view,202291261,"Standard Single Room, 1 Twin Bed, Balcony, Mountain View",standard single room 1 twin bed balcony mountain view,0.87
13438246,1142428083,"Standard Apartment, 2 Bedrooms (1C)",standard apartment 2 bedroom 1c,201022523,"Standard Apartment, 2 Bedrooms",standard apartment 2 bedroom,0.96
13690817,1142353992,"Deluxe Double Room, Ensuite (Room 3 or 4)",deluxe double room ensuite room 3 4,201583123,Deluxe Double Room Ensuite,deluxe double room ensuite,0.96
13843652,1143465564,"Standard Villa, 3 Bedrooms (10)",standard villa 3 bedroom 10,201218070,"Standard Villa, 3 Bedrooms",standard villa 3 bedroom,0.96
