reference_hotel_id,reference_room_id,reference_room_name,reference_processed_name,supplier_room_id,supplier_room_name,supplier_processed_name,text_similarity
563070,56307005,Two-Bedroom Penthouse Apartment,twobedroom penthouse apartment,201145335,"Penthouse, 2 Bedrooms",penthouse 2 bedroom,0.97
13805911,1143363767,Japanese-Western style Room (With bath) Non Smoking,japanesewestern style room bath non smoking,201180850,Japanese Style Room with Outdoor Bath,japanese style room outdoor bath,0.87
13820694,1143391439,Panoramic Suite Pool and Garden View,panoramic suite pool garden view,220521204,"Cottage, Pool View",cottage pool view,0.86
13446519,1142706961,"Room, 1 Double Bed, Corner",room 1 double bed corner,217827722,"Room, 1 Double Bed",room 1 double bed,0.87
13847372,1143471058,Premium Pool Villa,premium pool villa,266428,"Villa, Private Pool",villa private pool,0.96
13828060,1143429463,Royal Room,royal room,321123180,Royal Double Room,royal double room,0.96
13476761,1142189969,Suite Grand with jacuzzi,suite grand jacuzzi,201129827,King Jacuzzi Tub Suite,king jacuzzi tub suite,0.86
13551935,1141995742,"Standard Double or Twin Room, Lanai, Sea View",standard double twin room lanai sea view,200916988,"Standard Double or Twin Room, Sea View",standard double twin room sea view,0.97
13559714,1142269702,Panorama Twin Room,panorama twin room,213624997,"Premium Room, 2 Twin Beds (Panorama)",premium room 2 twin bed panorama,0.86
13600522,1142334682,"Japanese Style Room 18sqm,  Shared Bathroom, Non Smoking",japanese style room 18sqm shared bathroom non smoking,201048856,"Economy Japanese-Style Single Room with Shared Bathroom, Smoking",economy japanesestyle single room shared bathroom smoking,0.87
13822113,1143391075,Comfort Cabin,comfort cabin,201488097,Comfort Apartment,comfort apartment,0.86
406621,40662105,Deluxe One-Bedroom Apartment with Sea View,deluxe onebedroom apartment sea view,201396287,Deluxe Apartment (No Sea View),deluxe apartment no sea view,0.86
22544,2254412,Twin/Double Room,twindouble room,201693761,Delicate Twin Room,delicate twin room,0.86
10134524,1013452401,One-Bedroom Villa,onebedroom villa,200058101,One-Bedroom Pool Villa,onebedroom pool villa,0.87
13578843,1142841579,"Junior Suite, Corner (Single Use)",junior suite corner single use,217817456,Junior Suite (Single Use),junior suite single use,0.86
3129786,312978601,Economy Japanese-Style Triple Room with Shared Bathroom,economy japanesestyle triple room shared bathroom,201013156,"Budget Triple Room, Shared Bathroom",budget triple room shared bathroom,0.85
172243,17224306,Double Room with Two Double Beds - Disability Access Hearing Accessible - Accessible Tub,double room two double bed disability access hearing accessible accessible tub,200259517,"Suite, 2 Double Beds, Accessible, Bathtub (Mobility & Hearing)",suite 2 double bed accessible bathtub mobility hearing,0.85
8311135,831113510,Cozy Deluxe Twin,cozy deluxe twin,217852964,DELUXE TWIN,deluxe twin,0.85
13519673,1142234235,Premier Studio Suite,premier studio suite,315435067,Studio Suite,studio suite,0.86
1080702,108070222,Two-Bedroom Deluxe Villa,twobedroom deluxe villa,201143245,"Deluxe Villa, 2 Bedrooms",deluxe villa 2 bedroom,0.85
8339578,833957804,Cottage with Garden View,cottage garden view,202036016,"Bungalow, Garden View",bungalow garden view,0.87
1792950,179295004,Three Bedroom Apartment - 8 Persons,three bedroom apartment 8 persons,286705,Three Bedroom Apartment,three bedroom apartment,0.87
13527434,1142804960,"Deluxe Room, Annex Building",deluxe room annex building,201002044,"Standard Room, Annex Building",standard room annex building,0.87
13923020,1143598387,"Superior Villa, 3 Bedrooms, Non Smoking, Kitchen",superior villa 3 bedroom non smoking kitchen,202093830,"Exclusive Apartment, 6 Bedrooms, Non Smoking, Kitchen",exclusive apartment 6 bedroom non smoking kitchen,0.86
13896861,1143647681,Superior Family Suite,superior family suite,321206330,Family Suite,family suite,0.86
13682247,1142926155,"Room, 1 Queen Bed, Microwave",room 1 queen bed microwave,230441386,"Deluxe Room, 2 Queen Beds, Non Smoking, Microwave",deluxe room 2 queen bed non smoking microwave,0.87
13566551,1142276771,Suite (Attic),suite attic,214528354,Single Room (Attic),single room attic,0.86
796417,79641706,Double Room with Mountain View (Atardeceres),double room mountain view atardeceres,211508298,"Double Room, Mountain View",double room mountain view,0.86
1080702,108070226,Two-Bedroom Budget Cabin,twobedroom budget cabin,315977558,Two-bedroom apartment Standard,twobedroom apartment standard,0.86
13445925,1141889966,"Standard Studio, Kitchen (Spacious Studio Unit)",standard studio kitchen spacious studio unit,201152748,"Studio Suite, Kitchen",studio suite kitchen,0.97
13820694,1143394305,"Deluxe Room, Hill View",deluxe room hill view,217856728,"Deluxe Apartment, Mountain View",deluxe apartment mountain view,0.86
8198944,819894403,Grand Deluxe King Room with City View,grand deluxe king room city view,200866659,Luxury City View King Room,luxury city view king room,0.97
